Provinsi,Pulau,Stunting_2024,Stunting_Kategori_WHO,Stunting_vs_Nasional,Underweight_2024,SevereWasting_2024,Wasting_2024,Overweight_2024,IKPS_2022,IKPS_2023,IKPS_Delta_22_23,Kemiskinan_Kota_2023,Kemiskinan_Desa_2023,Kemiskinan_Total_2023,Kemiskinan_Gap_DesaKota,Sanitasi_Layak_2023,AirMinum_Kota_2023,AirMinum_Desa_2023,AirMinum_Total_2023,AirMinum_Gap_KotaDesa
ACEH,Sumatera,28.6,Tinggi,8.8,23.8,1.6,8.0,2.0,69.7,71.0,1.3,9.79,16.92,14.45,7.13,78.85,95.05,86.79,89.74,8.26
SUMATERA UTARA,Sumatera,22.0,Tinggi,2.2,17.6,2.1,6.9,2.3,63.4,64.7,1.3,8.23,8.03,8.15,-0.2,84.18,96.2,86.93,92.19,9.27
SUMATERA BARAT,Sumatera,24.9,Tinggi,5.1,18.8,0.9,6.1,1.7,68.1,68.4,0.3,4.67,7.23,5.95,2.56,70.97,93.75,77.41,85.59,16.34
RIAU,Sumatera,20.1,Tinggi,0.3,20.1,2.1,8.7,2.6,64.2,65.2,1.0,6.73,6.65,6.68,-0.08,84.58,95.69,86.97,90.47,8.72
JAMBI,Sumatera,17.1,Sedang,-2.7,13.8,2.3,6.3,4.6,66.0,66.6,0.6,10.19,6.28,7.58,-3.91,83.04,91.57,74.11,80.02,17.46
SUMATERA SELATAN,Sumatera,15.9,Sedang,-3.9,13.6,1.0,5.8,4.3,67.9,69.7,1.8,11.07,12.21,11.78,1.14,80.54,93.67,83.37,87.19,10.3
BENGKULU,Sumatera,18.8,Sedang,-1.0,14.9,1.3,5.6,3.5,68.8,70.3,1.5,14.21,13.96,14.04,-0.25,80.28,79.33,69.84,73.08,9.49
LAMPUNG,Sumatera,15.9,Sedang,-3.9,14.8,0.9,5.9,2.9,70.8,73.4,2.6,8.02,12.65,11.11,4.63,84.58,91.81,78.29,82.78,13.52
KEP. BANGKA BELITUNG,Sumatera,20.1,Tinggi,0.3,16.3,1.2,6.5,6.2,66.5,68.6,2.1,3.54,5.85,4.52,2.31,93.21,86.07,75.07,81.64,11.0
KEP. RIAU,Sumatera,15.0,Sedang,-4.8,13.7,0.9,5.4,3.7,67.4,69.0,1.6,5.05,10.69,5.69,5.64,91.1,94.78,71.03,92.1,23.75
DKI JAKARTA,Jawa,17.3,Sedang,-2.5,14.8,1.6,5.8,5.3,72.9,73.9,1.0,4.44,,4.44,,93.5,99.42,,99.42,
JAWA BARAT,Jawa,15.9,Sedang,-3.9,11.7,0.5,3.9,3.2,72.3,73.8,1.5,7.19,9.3,7.62,2.11,74.88,96.18,85.62,93.86,10.56
JAWA TENGAH,Jawa,17.1,Sedang,-2.7,15.0,0.5,5.4,3.2,77.2,78.0,0.8,9.78,11.87,10.77,2.09,85.2,96.43,90.76,93.76,5.67
DI YOGYAKARTA,Jawa,17.4,Sedang,-2.4,15.3,0.8,5.9,3.1,83.3,84.8,1.5,10.27,13.36,11.04,3.09,96.42,97.1,95.44,96.69,1.66
JAWA TIMUR,Jawa,14.7,Sedang,-5.1,14.4,0.7,5.4,4.2,76.4,78.5,2.1,7.5,13.98,10.35,6.48,83.72,97.53,94.1,96.01,3.43
BANTEN,Jawa,21.1,Tinggi,1.3,17.3,1.0,6.5,3.3,70.1,70.8,0.7,6.0,6.79,6.17,0.79,86.41,96.22,81.33,92.95,14.89
BALI,Bali-Nusa Tenggara,8.7,Rendah,-11.1,7.2,0.3,3.1,6.4,73.2,74.9,1.7,3.77,5.5,4.25,1.73,95.7,99.12,96.5,98.31,2.62
NUSA TENGGARA BARAT,Bali-Nusa Tenggara,29.8,Tinggi,10.0,28.7,1.4,9.4,1.4,78.3,79.2,0.9,13.76,13.95,13.85,0.19,85.11,96.5,95.52,96.03,0.98
NUSA TENGGARA TIMUR,Bali-Nusa Tenggara,37.0,Sangat tinggi,17.2,34.4,3.6,12.3,1.6,70.4,70.2,-0.2,9.12,23.76,19.96,14.64,75.67,96.06,85.34,88.35,10.72
KALIMANTAN BARAT,Kalimantan,26.8,Tinggi,7.0,23.8,2.2,8.4,4.4,62.5,65.2,2.7,4.44,8.07,6.71,3.63,79.89,89.21,77.76,82.08,11.45
KALIMANTAN TENGAH,Kalimantan,22.1,Tinggi,2.3,19.1,1.4,6.6,5.5,61.8,63.6,1.8,4.78,5.35,5.11,0.57,76.31,88.92,69.05,77.72,19.87
KALIMANTAN SELATAN,Kalimantan,22.9,Tinggi,3.1,22.3,1.6,9.1,4.3,72.6,73.4,0.8,3.84,4.72,4.29,0.88,82.89,86.18,66.5,76.29,19.68
KALIMANTAN TIMUR,Kalimantan,22.2,Tinggi,2.4,18.2,2.1,8.0,4.9,67.9,71.2,3.3,4.68,9.28,6.11,4.6,91.21,95.49,70.85,87.9,24.64
KALIMANTAN UTARA,Kalimantan,17.6,Sedang,-2.2,14.7,1.4,5.2,4.7,67.2,69.3,2.1,5.18,8.74,6.45,3.56,84.22,96.97,77.99,90.19,18.98
SULAWESI UTARA,Sulawesi,20.8,Tinggi,1.0,15.1,2.2,6.6,4.5,70.4,70.6,0.2,4.91,10.38,7.38,5.47,85.91,95.46,92.99,94.37,2.47
SULAWESI TENGAH,Sulawesi,26.1,Tinggi,6.3,24.2,2.5,8.7,2.6,69.4,70.4,1.0,8.9,14.09,12.41,5.19,75.8,93.67,83.48,86.85,10.19
SULAWESI SELATAN,Sulawesi,23.3,Tinggi,3.5,19.6,1.0,7.0,3.0,73.2,74.1,0.9,5.01,11.91,8.7,6.9,93.69,96.55,88.31,92.12,8.24
SULAWESI TENGGARA,Sulawesi,26.1,Tinggi,6.3,23.3,2.6,8.9,2.7,68.1,71.2,3.1,7.4,13.94,11.43,6.54,88.99,96.28,93.88,94.8,2.4
GORONTALO,Sulawesi,23.8,Tinggi,4.0,23.6,1.9,9.2,2.7,72.6,74.3,1.7,4.47,23.73,15.15,19.26,81.72,99.28,93.21,96.0,6.07
SULAWESI BARAT,Sulawesi,35.4,Sangat tinggi,15.6,25.9,1.4,7.8,2.2,73.5,75.0,1.5,9.08,12.1,11.49,3.02,80.73,92.91,76.42,79.86,16.49
MALUKU,Maluku,28.4,Tinggi,8.6,27.9,3.6,11.6,2.2,57.4,57.7,0.3,5.49,24.64,16.42,19.15,78.17,97.92,89.44,92.98,8.48
MALUKU UTARA,Maluku,23.2,Tinggi,3.4,24.9,3.2,11.4,1.5,60.2,61.2,1.0,6.23,6.55,6.46,0.32,80.64,97.01,85.58,89.01,11.43
PAPUA BARAT,Papua,24.6,Tinggi,4.8,22.9,2.9,9.2,2.5,56.1,57.9,1.8,8.23,29.2,20.49,20.97,76.3,92.78,73.76,81.57,19.02
PAPUA BARAT DAYA,Papua,30.5,Sangat tinggi,10.7,28.8,3.7,9.4,1.9,,,,,,,,,,,,
PAPUA,Papua,24.7,Tinggi,4.9,19.1,2.7,7.9,3.5,47.7,45.5,-2.2,5.68,34.49,26.03,28.81,43.0,90.71,56.54,66.49,34.17
PAPUA SELATAN,Papua,25.8,Tinggi,6.0,20.5,,10.9,3.8,,,,,,,,,,,,
PAPUA TENGAH,Papua,32.5,Sangat tinggi,12.7,26.5,,12.0,5.6,,,,,,,,,,,,
PAPUA PEGUNUNGAN,Papua,40.0,Sangat tinggi,20.2,22.3,,8.4,10.3,,,,,,,,,,,,
